日期,质量等级,AQI指数,当天AQI排名,PM2\.5,PM10,So2,No2,Co,O3
"
                                        2014-01-01","
                                       轻度污染","103
                                       ",55,83,138,32,71,1.06,37
"
                                        2014-01-02","
                                       轻度污染","140
                                       ",91,111,184,40,93,1.48,23
"
                                        2014-01-03","
                                       中度污染","166
                                       ",108,126,197,52,91,1.53,32
"
                                        2014-01-04","
                                       重度污染","211
                                       ",173,165,254,78,80,1.71,20
"
                                        2014-01-05","
                                       严重污染","251
                                       ",169,202,274,50,89,2.01,19
"
                                        2014-01-06","
                                       中度污染","183
                                       ",109,142,187,48,79,1.50,24
"
                                        2014-01-07","
                                       轻度污染","147
                                       ",121,112,138,32,79,1.68,13
"
                                        2014-01-08","
                                       良","56
                                       ",50,37,33,18,46,1.05,22
"
                                        2014-01-09","
                                       良","65
                                       ",52,45,69,30,39,0.66,29
"
                                        2014-01-10","
                                       良","96
                                       ",78,72,113,42,55,0.78,27
"
                                        2014-01-11","
                                       良","82
                                       ",50,60,71,24,54,0.79,17
"
                                        2014-01-12","
                                       良","74
                                       ",51,54,46,22,51,0.93,14
"
                                        2014-01-13","
                                       轻度污染","130
                                       ",140,99,118,41,58,1.12,15
"
                                        2014-01-14","
                                       良","91
                                       ",64,67,92,40,63,0.92,23
"
                                        2014-01-15","
                                       轻度污染","103
                                       ",57,77,106,33,64,1.03,26
"
                                        2014-01-16","
                                       轻度污染","114
                                       ",52,86,127,33,71,1.09,26
"
                                        2014-01-17","
                                       中度污染","161
                                       ",86,122,169,34,83,1.31,23
"
                                        2014-01-18","
                                       严重污染","267
                                       ",152,216,248,49,58,1.45,39
"
                                        2014-01-19","
                                       严重污染","254
                                       ",143,204,248,35,69,1.62,29
"
                                        2014-01-20","
                                       中度污染","156
                                       ",122,101,192,31,58,1.10,32
"
                                        2014-01-21","
                                       良","88
                                       ",94,45,125,36,49,0.78,28
"
                                        2014-01-22","
                                       良","85
                                       ",48,62,98,35,60,0.91,24
